raw_score,cognitive,receptive_language,expressive_language,social_emotional,gross_motor,fine_motor,adaptive_behavior
0,<50,<50,<50,<50,<50,<50,<50
1,<50,<50,<50,<50,<50,<50,<50
2,<50,<50,<50,<50,<50,<50,<50
3,<50,<50,<50,<50,<50,<50,<50
4,<50,<50,<50,<50,<50,<50,<50
5,<50,<50,<50,<50,<50,<50,<50
6,<50,<50,<50,<50,<50,<50,<50
7,<50,<50,<50,<50,<50,<50,<50
8,<50,<50,<50,<50,<50,<50,<50
9,<50,<50,<50,<50,<50,<50,<50
10,<50,<50,<50,<50,<50,<50,<50
11,<50,50,<50,<50,<50,<50,<50
12,<50,53,50,<50,<50,50,<50
13,<50,54,52,<50,<50,52,<50
14,<50,55,55,<50,<50,56,<50
15,<50,58,58,50,<50,60,50
16,<50,61,60,51,<50,65,51
17,<50,64,63,53,<50,69,53
18,<50,67,65,54,<50,74,54
19,50,70,68,56,<50,78,56
20,51,73,70,57,<50,83,58
21,53,76,73,59,<50,87,59
22,54,79,76,60,<50,91,61
23,56,82,78,62,<50,96,63
24,57,85,81,63,<50,100,64
25,58,89,83,65,<50,105,66
26,60,92,86,66,<50,109,68
27,61,95,88,68,<50,113,69
28,63,97,91,69,<50,118,71
29,64,101,94,71,<50,122,73
30,66,104,96,72,<50,127,74
31,67,107,99,74,50,128,76
32,68,111,101,75,53,132,78
33,70,113,104,77,57,132,79
34,71,116,106,78,60,-,81
35,73,119,109,80,64,-,83
36,74,122,112,81,67,-,84
37,76,127,114,83,70,-,86
38,77,-,117,84,74,-,88
39,78,-,119,86,77,-,89
40,80,-,122,87,81,-,91
41,81,-,124,89,84,-,93
42,83,-,-,90,87,-,94
43,84,-,-,92,91,-,96
44,86,-,-,93,94,-,98
45,87,-,-,95,99,-,99
46,88,-,-,96,105,-,101
47,90,-,-,98,108,-,103
48,91,-,-,100,112,-,104
49,93,-,-,103,115,-,106
50,94,-,-,104,118,-,108
51,96,-,-,106,122,-,109
52,97,-,-,107,125,-,111
53,98,-,-,109,128,-,113
54,100,-,-,110,130,-,115
55,101,-,-,112,-,-,116
56,103,-,-,113,-,-,118
57,104,-,-,115,-,-,120
58,106,-,-,116,-,-,121
59,107,-,-,117,-,-,123
60,108,-,-,119,-,-,125
61,110,-,-,120,-,-,126
62,111,-,-,122,-,-,128
63,113,-,-,123,-,-,130
64,114,-,-,-,-,-,131
65,116,-,-,-,-,-,-
66,117,-,-,-,-,-,-
67,118,-,-,-,-,-,-
68,120,-,-,-,-,-,-
69,121,-,-,-,-,-,-
70,123,-,-,-,-,-,-
71,124,-,-,-,-,-,-
72,126,-,-,-,-,-,-
73,127,-,-,-,-,-,-
74,128,-,-,-,-,-,-
75,130,-,-,-,-,-,-
76,131,-,-,-,-,-,-
77,133,-,-,-,-,-,-
78,134,-,-,-,-,-,-
79,136,-,-,-,-,-,-
80,137,-,-,-,-,-,-
81,138,-,-,-,-,-,-
82,140,-,-,-,-,-,-
83,141,-,-,-,-,-,-
84,143,-,-,-,-,-,-
85,144,-,-,-,-,-,-
86,146,-,-,-,-,-,-
87,147,-,-,-,-,-,-
88,148,-,-,-,-,-,-
