standard_score_1,percentile_rank_1,standard_score_2,percentile_rank_2,standard_score_3,percentile_rank_3
160,>99.9,119,90,78,7
159,>99.9,118,88,77,6
158,>99.9,117,87,76,5
157,>99.9,116,86,75,5
156,>99.9,115,84,74,4
155,>99.9,114,82,73,4
154,>99.9,113,81,72,3
153,>99.9,112,79,71,3
152,>99.9,111,77,70,2
151,>99.9,110,75,69,2
150,>99.9,109,73,68,2
149,>99.9,108,70,67,1
148,99.9,107,68,66,1
147,99.9,106,66,65,1
146,99.9,105,63,64,1
145,99.9,104,61,63,1
144,99.8,103,58,62,1
143,99.8,102,55,61,0.5
142,99.7,101,53,60,0.4
141,99.7,100,50,59,0.3
140,99.6,99,47,58,0.3
139,99.5,98,45,57,0.2
138,99,97,42,56,0.2
137,99,96,39,55,0.1
136,99,95,37,54,0.1
135,99,94,34,53,0.1
134,99,93,32,52,0.1
133,99,92,30,51,<0.1
132,98,91,27,50,<0.1
131,98,90,25,49,<0.1
130,98,89,23,48,<0.1
129,97,88,21,47,<0.1
128,97,87,19,46,<0.1
127,96,86,18,45,<0.1
126,96,85,16,44,<0.1
125,95,84,14,43,<0.1
124,95,83,13,42,<0.1
123,94,82,12,41,<0.1
122,93,81,10,40,<0.1
121,92,80,9,,
120,91,79,8,,
